cv_cycle,split,method,SMILES,Name,BSEP,BSEP_prob,BSEP_pred
0,random,lightGBM,OC[C@H]([C@@H](c1ccc([N+](=O)[O-])cc1)O)NC(C(Cl)Cl)=O,50772760,0,0.01135347429992371,0
0,random,lightGBM,CCN(c1c(C)cccc1)C(\C=C\C)=O,50754477,0,0.0020759314363115785,0
0,random,lightGBM,CCCc1c2c(C(=O)C=C(C(=O)O)O2)cc(c(N(C(=O)C)C)cc(C(=O)O)n3)c13,50754445,0,0.0023524211901005615,0
0,random,lightGBM,CC([C@@H](C(OCCOCn1c2c(C(=O)N=C(N)N2)nc1)=O)N)C,50776018,0,0.00029002016903049505,0
0,random,lightGBM,CC(C1C(C)(C(=O)CC2C3C(=O)CC(CC(=O)CC4)C24C)C3CC1)CCC(=O)O,50753270,0,0.6370108620015013,1
0,random,lightGBM,C(C(NCC1)=N1)N(c2ccccc2)Cc3ccccc3,50754015,0,0.000363920639685252,0
0,random,lightGBM,CNCC(c1cc(O)ccc1)O,50754554,0,0.0004562925832232745,0
0,random,lightGBM,CN1C(=O)[C@@H]2N([C@H](c3cc(OCO4)c4cc3)c5c(c(cccc6)c6[nH]5)C2)C(=O)C1,50777394,0,0.002280065467851948,0
0,random,lightGBM,COc1cc(C)c(N2C(=O)C(C(=O)c(ccc(Cl)c3)c3N4)=C4C(=O)N2)cc1,50754117,0,0.5051944331246557,1
0,random,lightGBM,COc1nccc(c2cc(F)c([C@H]3Oc(cc([C@H](C4CC4)[C@@H](C(=O)O)C)cc5)c5CC3)cc2)c1,51098607,1,0.8510275182727862,1
0,random,lightGBM,CCOC(c1cnc(C#Cc2cc(C(C)(C)CCS3)c3cc2)cc1)=O,50775850,0,0.17753088525450508,0
0,random,lightGBM,CC(SCC(C(NCC(OCc1ccccc1)=O)=O)Cc2ccccc2)=O,50777195,1,0.0009329580006683771,0
0,random,lightGBM,Cc1nc(NS(c2ccc(N)cc2)(=O)=O)ncc1,50753330,0,0.010485931444597116,0
0,random,lightGBM,NC1=C(F)C=NC(=O)N1,50772789,0,0.0001906617708803237,0
0,random,lightGBM,CO[C@H]([C@@H](C)[C@@H](OC(=O)C)[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)\C=C\C=C(\C)/C(=O)Nc(c(O)c1c2c(c(c(C)c1O)O3)C(=O)[C@]34C)c(\C=N\N5CCN(C6CCCC6)CC5)c2O)\C=C\O4,50774811,1,0.9748845277577642,1
0,random,lightGBM,NC(c1ccc(OCCCCCOc2ccc(C(=N)N)cc2)cc1)=N,50772851,0,0.003044450354087007,0
0,random,lightGBM,CN(CCc1c(cc(Cn2ncnc2)cc3)c3[nH]c1)C,50773817,0,0.0235271865333299,0
0,random,lightGBM,CC(NCC(COc1c(CCC(=O)N2)c2ccc1)O)(C)C,50753597,0,0.0023181770020141673,0
0,random,lightGBM,CC(c1cc(nc(c2ccc(Cl)cc2)o3)c3cc1)C(=O)O,50753376,0,0.37269634945155505,0
0,random,lightGBM,CS(c1ccc(c2c(nnc3)n3c(NCc4occc4)nc2)cc1)(=O)=O,393772,0,0.1414649568238884,0
0,random,lightGBM,S=C1c([nH]cn2)c2N=CN1,50777144,0,6.536799286105108e-05,0
0,random,lightGBM,ClCCN(C(NC1CCCCC1)=O)N=O,50772642,0,0.36784657468766024,0
0,random,lightGBM,C[C@@H]1[C@@H](O)[C@@H](O)C[C@H](O[C@@H]2[C@@H](C)O[C@@H](O[C@@H]3[C@@H](C)O[C@@H](O[C@@H]4C[C@@H]5[C@]([C@@H]6[C@H]([C@@](O)(CC[C@@H]7C(COC8=O)=C8)[C@]7(C)[C@H](O)C6)CC5)(C)CC4)C[C@@H]3O)C[C@@H]2O)O1,50754518,0,0.005966751970820846,0
0,random,lightGBM,OC(Cc1ccc(c2ccccc2)cc1)=O,50777228,0,0.0021127708685692143,0
0,random,lightGBM,CCCc1c2c(C(=O)C=C(C(=O)O)O2)cc(c(Cl)cc(C(=O)O)n3)c13,50754474,0,0.043158883994673235,0
0,random,lightGBM,CN1CCN(C(c(cc(C)s2)c2Nc(cccc3)c34)=N4)CC1,50776353,0,0.052829005956931095,0
0,random,lightGBM,CO[C@H]1[C@H](OCCO)CC[C@@H](C[C@H]([C@H]2OC(=O)[C@H](CCCC3)N3C(=O)C(=O)[C@@](O)([C@H](C)CC4)O[C@@H]4C[C@H](OC)\C(\C)=C\C=C\C=C\[C@@H](C)C[C@@H](C)C(=O)[C@H](OC)[C@H](O)\C(\C)=C\[C@@H](C)C(=O)C2)C)C1,50774881,1,0.9661914018844653,1
0,random,lightGBM,CC(NCC(COc1c(CC=C)cccc1)O)C,50773526,0,0.0006225608093235385,0
0,random,lightGBM,COc1cc(N2C3(CCCCC3)N=C(N)N=C2N)ccc1,50754353,0,0.03933562856073657,0
